date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD_raw,PD_smoothed,success
2020-09-25,F,19364.8,0.3068,139485.0,0.0114,157268.34448714482,0.0377858775720942,3.2574605805448305,0.000271592549427251,0.0008464081578545487,True
2020-09-28,F,19913.6,0.3188,139485.0,0.0113,157830.67143317434,0.04023823114344844,3.1342248864655606,0.00043180143999577993,0.0008049474859535956,True
2020-09-29,F,19639.2,0.3201,139485.0,0.0113,157556.23667601874,0.039915923079294,3.121436652089188,0.00045790941657244076,0.0007702436789287901,True
2020-09-30,F,19796.0,0.3197,139485.0,0.0113,157713.04716066102,0.04014404235345912,3.1253566936885524,0.00044863705292760923,0.0007380830162563686,True
2020-10-01,F,20070.4,0.3224,139485.0,0.0112,158001.1588128297,0.04097088028922379,3.0990065295536784,0.0004918117797265115,0.0007134558925535529,True
2020-10-02,F,20501.6,0.3279,139485.0,0.0112,158432.16917114198,0.04245287170406594,3.046647650722706,0.0005916995398798574,0.000701280257264011,True
2020-10-05,F,20893.6,0.3219,139485.0,0.0112,158824.37045137482,0.04236354606775099,3.1038027534434014,0.00046958691989342047,0.0006781109234889789,True
2020-10-06,F,20776.0,0.2913,139485.0,0.0111,158721.1181391852,0.03813422323825311,3.431239809274138,0.00012619472502735127,0.0006229193035614061,True
2020-10-07,F,21520.8,0.3084,139485.0,0.0111,159465.69061939092,0.041629898710290894,3.2403341351219246,0.000268507828563688,0.0005874781560145849,True
2020-10-08,F,21873.6,0.306,139485.0,0.0111,159818.53327200943,0.041889315494904794,3.265821757954771,0.00023912942852151472,0.0005526432832236578,True
2020-10-09,F,21560.0,0.3078,139485.0,0.011,159518.69683828717,0.04161050112438136,3.2466735667260136,0.0002613978618375281,0.0005235187410537271,True
2020-10-12,F,22814.4,0.3482,139485.0,0.011,160771.4631397446,0.04945648153420929,2.867299051804893,0.0010722929658562854,0.0005783961635870919,True
2020-10-13,F,23088.8,0.3433,139485.0,0.011,161046.18582459053,0.049256142954183096,2.9086757485214885,0.0009141596680477607,0.0006119725140624037,True
2020-10-14,F,22500.8,0.3534,139485.0,0.0109,160471.26758374475,0.049605786714336665,2.8245856270050966,0.0012623603302504723,0.0006770112957321943,True
2020-10-15,F,22657.6,0.351,139485.0,0.0109,160628.2549486601,0.04955988503659614,2.844149960134813,0.0011714106382176464,0.0007264512300156198,True
2020-10-16,F,22814.4,0.3449,139485.0,0.0109,160785.4835402077,0.04897921921562772,2.8950484833827135,0.0009690084066151532,0.0007507069476909745,True
2020-10-19,F,22579.2,0.3466,139485.0,0.0108,160563.97142524825,0.0487829254799157,2.880697817583035,0.0010283214988291557,0.0007784684028206572,True
2020-10-20,F,23010.4,0.347,139485.0,0.0108,160995.13899590212,0.04963848717355951,2.8773247990221713,0.0010281231581196137,0.0008034338783633929,True
2020-10-21,F,23363.2,0.3464,139485.0,0.0108,161347.9763623409,0.05020105370794772,2.8823527881677893,0.0009991071642208374,0.0008230012069581947,True
2020-10-22,F,24421.6,0.3644,139485.0,0.0107,162418.5716666513,0.05486680092993318,2.7380394318815884,0.0016308452485788562,0.0009037856111539153,True
2020-10-23,F,24264.8,0.3654,139485.0,0.0107,162261.66281049707,0.05471941072648221,2.7304215108381267,0.0016820770103936167,0.0009816147511070663,True
2020-10-26,F,23872.8,0.3687,139485.0,0.0107,161869.2834831961,0.054461328498945034,2.7055533286210154,0.0018536976322191053,0.001068823039247698,True
2020-10-27,F,23559.2,0.3697,139485.0,0.0106,161569.37004251257,0.05399480137964761,2.6980960126872326,0.0019177351998155734,0.0011537142553302668,True
2020-10-28,F,22892.8,0.3807,139485.0,0.0106,160901.44041934764,0.05428266236395846,2.618490927560706,0.002559482107038055,0.0012942910405394693,True
2020-10-29,F,23480.8,0.3735,139485.0,0.0106,161490.47568311437,0.05440395615264162,2.670109790235052,0.0021165005445854972,0.001376511990964298,True
2020-10-30,F,23010.4,0.3792,139485.0,0.0105,161033.0707081776,0.054297584237833645,2.62909630431191,0.0024626044667299977,0.0014851212385649135,True
2020-11-02,F,22932.0,0.3459,139485.0,0.0105,160958.21614257203,0.04932255564966839,2.8865821595511054,0.000996372657233396,0.001436246380422023,True
2020-11-03,F,23441.6,0.3457,139485.0,0.0104,161481.62779542958,0.050225116049657036,2.888251785230105,0.0009757541507135238,0.0013901971574429152,True
2020-11-04,F,22736.0,0.3532,139485.0,0.0104,160775.48233977813,0.050000436642264466,2.8262024864336133,0.0012472441593178478,0.001375901857628101,True
2020-11-05,F,23755.2,0.3724,139485.0,0.0104,161792.6186447673,0.054771676738264954,2.6781611630811546,0.0020448306297051683,0.0014427947348455243,True
2020-11-06,F,23167.2,0.3742,139485.0,0.0103,161218.20220722922,0.053871468513631754,2.6650037452831143,0.0021710912895879257,0.0015156243903292857,True
2020-11-09,F,24382.4,0.3931,139485.0,0.0103,162430.05613510738,0.05917040450666916,2.5338585495425106,0.0032814288883118324,0.0016922048401483167,True
2020-11-10,F,24931.2,0.3904,139485.0,0.0103,162979.37509599145,0.05987213262300196,2.551912438833832,0.0030525614900510315,0.0018282405051529933,True
2020-11-11,F,24774.4,0.3926,139485.0,0.0102,162835.93788024024,0.0598919206832502,2.537206091675227,0.003217171649039088,0.00196713361955484,True
