date,firm_id,equity_vol
2020-01-07,TSLA,0.8964
2020-01-08,TSLA,0.8964
2020-01-09,TSLA,0.8964
2020-01-10,TSLA,0.8964
2020-01-13,TSLA,0.8964
2020-01-14,TSLA,0.8964
2020-01-15,TSLA,0.8964
2020-01-16,TSLA,0.8964
2020-01-17,TSLA,0.8964
2020-01-21,TSLA,0.8964
2020-01-22,TSLA,0.8964
2020-01-23,TSLA,0.8964
2020-01-24,TSLA,0.8964
2020-01-27,TSLA,0.8964
2020-01-28,TSLA,0.8964
2020-01-29,TSLA,0.8964
2020-01-30,TSLA,0.8964
2020-01-31,TSLA,0.8964
2020-02-03,TSLA,0.8964
2020-02-04,TSLA,0.8964
2020-02-05,TSLA,0.8964
2020-02-06,TSLA,0.8964
2020-02-07,TSLA,0.8964
2020-02-10,TSLA,0.8964
2020-02-11,TSLA,0.8964
2020-02-12,TSLA,0.8964
2020-02-13,TSLA,0.8964
2020-02-14,TSLA,0.988
2020-02-18,TSLA,0.9985
2020-02-19,TSLA,1.0067
2020-02-20,TSLA,1.0144
2020-02-21,TSLA,1.0134
2020-02-24,TSLA,1.0444
2020-02-25,TSLA,1.0567
2020-02-26,TSLA,1.0378
2020-02-27,TSLA,1.1172
2020-02-28,TSLA,1.1116
2020-03-02,TSLA,1.1483
2020-03-03,TSLA,1.1472
2020-03-04,TSLA,1.1348
2020-03-05,TSLA,1.1393
2020-03-06,TSLA,1.145
2020-03-09,TSLA,1.2188
2020-03-10,TSLA,1.2282
2020-03-11,TSLA,1.2301
2020-03-12,TSLA,1.2789
2020-03-13,TSLA,1.2444
2020-03-16,TSLA,1.3515
2020-03-17,TSLA,1.2001
2020-03-18,TSLA,1.178
2020-03-19,TSLA,1.2463
2020-03-20,TSLA,1.2429
2020-03-23,TSLA,1.2456
2020-03-24,TSLA,1.3426
2020-03-25,TSLA,1.3612
2020-03-26,TSLA,1.3617
2020-03-27,TSLA,1.3518
2020-03-30,TSLA,1.3522
2020-03-31,TSLA,1.3387
2020-04-01,TSLA,1.3298
2020-04-02,TSLA,1.3344
2020-04-03,TSLA,1.351
2020-04-06,TSLA,1.3656
2020-04-07,TSLA,1.377
2020-04-08,TSLA,1.3767
2020-04-09,TSLA,1.3359
2020-04-13,TSLA,1.3936
2020-04-14,TSLA,1.3795
2020-04-15,TSLA,1.3815
2020-04-16,TSLA,1.3825
2020-04-17,TSLA,1.3782
2020-04-20,TSLA,1.3752
2020-04-21,TSLA,1.3343
2020-04-22,TSLA,1.336
2020-04-23,TSLA,1.3402
2020-04-24,TSLA,1.2891
2020-04-27,TSLA,1.3097
2020-04-28,TSLA,1.1746
2020-04-29,TSLA,1.1643
2020-04-30,TSLA,1.0371
2020-05-01,TSLA,0.995
2020-05-04,TSLA,1.0118
2020-05-05,TSLA,1.0123
2020-05-06,TSLA,0.9189
2020-05-07,TSLA,0.9073
2020-05-08,TSLA,0.9072
2020-05-11,TSLA,0.9018
2020-05-12,TSLA,0.8955
2020-05-13,TSLA,0.8994
2020-05-14,TSLA,0.8518
2020-05-15,TSLA,0.8252
2020-05-18,TSLA,0.8182
2020-05-19,TSLA,0.8035
2020-05-20,TSLA,0.7945
2020-05-21,TSLA,0.7941
2020-05-22,TSLA,0.7932
2020-05-26,TSLA,0.7025
2020-05-27,TSLA,0.6583
2020-05-28,TSLA,0.6581
2020-05-29,TSLA,0.6629
2020-06-01,TSLA,0.6939
2020-06-02,TSLA,0.6961
2020-06-03,TSLA,0.6465
2020-06-04,TSLA,0.629
2020-06-05,TSLA,0.6179
2020-06-08,TSLA,0.6433
2020-06-09,TSLA,0.5836
2020-06-10,TSLA,0.6167
2020-06-11,TSLA,0.6344
2020-06-12,TSLA,0.6424
2020-06-15,TSLA,0.5695
2020-06-16,TSLA,0.5283
2020-06-17,TSLA,0.5283
2020-06-18,TSLA,0.5276
2020-06-19,TSLA,0.5275
2020-06-22,TSLA,0.5142
2020-06-23,TSLA,0.5117
2020-06-24,TSLA,0.53
2020-06-25,TSLA,0.5257
2020-06-26,TSLA,0.5344
2020-06-29,TSLA,0.5489
2020-06-30,TSLA,0.5766
2020-07-01,TSLA,0.5793
2020-07-02,TSLA,0.6118
2020-07-06,TSLA,0.705
2020-07-07,TSLA,0.6991
2020-07-08,TSLA,0.7054
2020-07-09,TSLA,0.7037
2020-07-10,TSLA,0.7404
2020-07-13,TSLA,0.7553
2020-07-14,TSLA,0.7373
2020-07-15,TSLA,0.7289
2020-07-16,TSLA,0.7411
2020-07-17,TSLA,0.7337
2020-07-20,TSLA,0.7653
2020-07-21,TSLA,0.7738
2020-07-22,TSLA,0.7694
2020-07-23,TSLA,0.7639
2020-07-24,TSLA,0.774
2020-07-27,TSLA,0.7854
2020-07-28,TSLA,0.7931
2020-07-29,TSLA,0.79
2020-07-30,TSLA,0.7927
2020-07-31,TSLA,0.8074
2020-08-03,TSLA,0.809
2020-08-04,TSLA,0.8075
2020-08-05,TSLA,0.8086
2020-08-06,TSLA,0.7924
2020-08-07,TSLA,0.8003
2020-08-10,TSLA,0.799
2020-08-11,TSLA,0.8014
2020-08-12,TSLA,0.858
2020-08-13,TSLA,0.8595
2020-08-14,TSLA,0.8368
2020-08-17,TSLA,0.8099
2020-08-18,TSLA,0.8114
2020-08-19,TSLA,0.8083
2020-08-20,TSLA,0.8229
2020-08-21,TSLA,0.7737
2020-08-24,TSLA,0.7684
2020-08-25,TSLA,0.7686
2020-08-26,TSLA,0.7838
2020-08-27,TSLA,0.7775
2020-08-28,TSLA,0.7801
2020-08-31,TSLA,0.8124
2020-09-01,TSLA,0.8132
2020-09-02,TSLA,0.8406
2020-09-03,TSLA,0.8742
